id,artist,title,label,category,format,price,item_url,thumb_url
136,Blacksea Nao Maya,Maquina de Venus,Klakson,techno,LP,11.49,https://clone.nl//item62872.html,https://clone.nl/platen/artwork/large/plaatimage62183.jpg
137,Henzo,"Not Like That, Not Like You",Delsin,techno,12inch,10.99,https://clone.nl//item62868.html,https://clone.nl/platen/artwork/large/plaatimage62175.jpg
138,Tim Jackiw,Algorhythms EP,LIES,techno,12inch,10.99,https://clone.nl//item62864.html,https://clone.nl/platen/artwork/large/plaatimage62172.jpg
139,Omar S,Conant Gardens Party Store,Mord,techno,12inch,9.99,https://clone.nl//item62863.html,https://clone.nl/platen/artwork/large/plaatimage62171.jpg
140,Jeroen Search,Protocol Omega EP,Whitvoir,techno,12inch,9.99,https://clone.nl//item62858.html,https://clone.nl/platen/artwork/large/plaatimage62165.jpg
141,Inga Mauer,Bad Manners 6,Axces,techno,12inch,22.99,https://clone.nl//item62856.html,https://clone.nl/platen/artwork/large/plaatimage62163.jpg
142,Amandra x Mattheis,Lettre Ouverte,Greyscale,techno,2x12inch + Download,10.49,https://clone.nl//item62854.html,https://clone.nl/platen/artwork/large/plaatimage62161.jpg
143,Levon Vincent,Cyclops Tracks,Unknown Precept,techno,12inch,9.99,https://clone.nl//item62845.html,https://clone.nl/platen/artwork/large/plaatimage62147.jpg
144,Jaime Read,Never The Future EP,Planet Rhythm,techno,12inch,11.99,https://clone.nl//item62840.html,https://clone.nl/platen/artwork/large/plaatimage62152.jpg
145,Sigha,Move To Speed,Earwiggle,techno,12inch,10.99,https://clone.nl//item62829.html,https://clone.nl/platen/artwork/large/plaatimage62442.jpg
146,Various Artists,Fuga II,Murder Records,techno,2LP,15.99,https://clone.nl//item62828.html,https://clone.nl/platen/artwork/large/plaatimage62155.jpg
147,Yuzee,STICQ 1,Arts Collective,techno,12inch,13.99,https://clone.nl//item62826.html,https://clone.nl/platen/artwork/large/plaatimage62135.jpg
148,Anatolian Weapons / LINJA,Split EP,Edit Select,techno,12inch,13.99,https://clone.nl//item62813.html,https://clone.nl/platen/artwork/large/plaatimage62122.jpg
149,Aahan,Unholy Empire,Semantica,techno,12inch,13.99,https://clone.nl//item62781.html,https://clone.nl/platen/artwork/large/plaatimage62089.jpg
150,Various Artists,Rave Encounter Vol 2,Semantica,techno,2x10inch,13.99,https://clone.nl//item62771.html,https://clone.nl/platen/artwork/large/plaatimage62079.jpg
151,Relative Progress,Evolutionary Perspective,Nurse,techno,12inch,13.99,https://clone.nl//item62742.html,https://clone.nl/platen/artwork/large/plaatimage62053.jpg
152,Miki,Indigo Ancestry,Awakening The Past,techno,12inch,10.99,https://clone.nl//item62740.html,https://clone.nl/platen/artwork/large/plaatimage62051.jpg
153,Venus Ex Machina,LUX,Repetitive Rhythm Research,techno,LP,13.99,https://clone.nl//item62738.html,https://clone.nl/platen/artwork/large/plaatimage62049.jpg
154,Rozzma,Khatar Sayeb,Ternesc,techno,12inch,11.99,https://clone.nl//item62736.html,https://clone.nl/platen/artwork/large/plaatimage62047.jpg
155,Cosmic JD,Plant Algebra EP,10 pills mate,techno,12inch,19.99,https://clone.nl//item62733.html,https://clone.nl/platen/artwork/large/plaatimage62044.jpg
156,Bionoid,Ravers Guide to Love,Asquith,techno,12inch,21.99,https://clone.nl//item62722.html,https://clone.nl/platen/artwork/large/plaatimage62033.jpg
157,Primal Code,Eteru,X-Kalay,techno,12inch,17.99,https://clone.nl//item62716.html,https://clone.nl/platen/artwork/large/plaatimage62026.jpg
158,CVBox,TeqNoTv,Mung Records,techno,12inch,12.99,https://clone.nl//item62714.html,https://clone.nl/platen/artwork/large/plaatimage62024.jpg
159,Rolando Simmons,Delusions,MTM,techno,12inch,18.99,https://clone.nl//item62713.html,https://clone.nl/platen/artwork/large/plaatimage62023.jpg
160,Post Scriptum,Monumentum,Fxhe,techno,12inch,11.99,https://clone.nl//item62700.html,https://clone.nl/platen/artwork/large/plaatimage62010.jpg
161,Gigi Galaxy,The Invasion EP,Mindhelmet,techno,12inch,13.99,https://clone.nl//item62693.html,https://clone.nl/platen/artwork/large/plaatimage62009.jpg
162,Al Lover,Zodiak Versions,Arsenik,techno,2LP,21.99,https://clone.nl//item62691.html,https://clone.nl/platen/artwork/large/plaatimage62001.jpg
163,Stiletti Ana,Ab Ovo,Fleisch,techno,LP,14.99,https://clone.nl//item62688.html,https://clone.nl/platen/artwork/large/plaatimage61998.jpg
164,Tecwaa,Beyond The Altai,Principe,techno,LP,10.99,https://clone.nl//item62687.html,https://clone.nl/platen/artwork/large/plaatimage61997.jpg
165,Mike Parker,The Devil's Curators Vol. 2,Worldwide Unlimited,techno,12inch,12.99,https://clone.nl//item62686.html,https://clone.nl/platen/artwork/large/plaatimage61996.jpg
166,Dylan Forbes,Kingston EP,Physical Education,techno,12inch,21.99,https://clone.nl//item62685.html,https://clone.nl/platen/artwork/large/plaatimage61995.jpg
167,Cristian Vogel,Mind Control,Fxhe,techno,12inch,12.99,https://clone.nl//item62678.html,https://clone.nl/platen/artwork/large/plaatimage61986.jpg
168,Nightdrive,Miracles LP,Figure,techno,Cassette Tape,13.99,https://clone.nl//item62677.html,https://clone.nl/platen/artwork/large/plaatimage61988.jpg
169,Etch,Polarity,Bad Manners,techno,12inch,11.49,https://clone.nl//item62673.html,https://clone.nl/platen/artwork/large/plaatimage61982.jpg
170,Necronomicon,The Sound Of Fetisj 1982,Nous klaer Audio,techno,12inch,25.99,https://clone.nl//item62661.html,https://clone.nl/platen/artwork/large/plaatimage61970.jpg
171,Siwei,If You Believe It EP,Novel Sound,techno,12inch,18.99,https://clone.nl//item62657.html,https://clone.nl/platen/artwork/large/plaatimage61964.jpg
172,4D&Krunky,HMND001,Only One Music,techno,12inch,23.99,https://clone.nl//item62654.html,https://clone.nl/platen/artwork/large/plaatimage61959.jpg
173,New Members,Spirals EP,Our Circula Sound,techno,12inch,23.99,https://clone.nl//item62652.html,https://clone.nl/platen/artwork/large/plaatimage61957.jpg
174,Dj Surgeles,The Mutant,Token,techno,12inch,10.99,https://clone.nl//item62648.html,https://clone.nl/platen/artwork/large/plaatimage61952.jpg
